@relation 'Transactional: iris'
@attribute vectorNrId string
@attribute attributeIndex numeric
@attribute attributeValue {5.1, 3.5, 1.4, 0.2, Iris-setosa, 4.9, 3.0, 4.7, 3.2, 1.3, 4.6, 3.1, 1.5, 5.0, 3.6, 5.4, 3.9, 1.7, 0.4, 3.4, 0.3, 4.4, 2.9, 0.1, 3.7, 4.8, 1.6, 4.3, 1.1, 5.8, 4.0, 1.2, 5.7, 3.8, 1.0, 3.3, 0.5, 1.9, 5.2, 4.1, 5.5, 4.2, 4.5, 2.3, 0.6, 5.3, 7.0, Iris-versicolor, 6.4, 6.9, 6.5, 2.8, 6.3, 2.4, 6.6, 2.7, 2.0, 5.9, 6.0, 2.2, 6.1, 5.6, 6.7, 6.2, 2.5, 1.8, 6.8, 2.6, Iris-virginica, 7.1, 2.1, 7.6, 7.3, 7.2, 7.7, 7.4, 7.9}

@data
0,0.0,5.1
0,1.0,3.5
0,2.0,1.4
0,3.0,0.2
0,4.0,Iris-setosa
1,0.0,4.9
1,1.0,3.0
1,2.0,1.4
1,3.0,0.2
1,4.0,Iris-setosa
2,0.0,4.7
2,1.0,3.2
2,2.0,1.3
2,3.0,0.2
2,4.0,Iris-setosa
3,0.0,4.6
3,1.0,3.1
3,2.0,1.5
3,3.0,0.2
3,4.0,Iris-setosa
4,0.0,5.0
4,1.0,3.6
4,2.0,1.4
4,3.0,0.2
4,4.0,Iris-setosa
5,0.0,5.4
5,1.0,3.9
5,2.0,1.7
5,3.0,0.4
5,4.0,Iris-setosa
6,0.0,4.6
6,1.0,3.4
6,2.0,1.4
6,3.0,0.3
6,4.0,Iris-setosa
7,0.0,5.0
7,1.0,3.4
7,2.0,1.5
7,3.0,0.2
7,4.0,Iris-setosa
8,0.0,4.4
8,1.0,2.9
8,2.0,1.4
8,3.0,0.2
8,4.0,Iris-setosa
9,0.0,4.9
9,1.0,3.1
9,2.0,1.5
9,3.0,0.1
9,4.0,Iris-setosa
10,0.0,5.4
10,1.0,3.7
10,2.0,1.5
10,3.0,0.2
10,4.0,Iris-setosa
11,0.0,4.8
11,1.0,3.4
11,2.0,1.6
11,3.0,0.2
11,4.0,Iris-setosa
12,0.0,4.8
12,1.0,3.0
12,2.0,1.4
12,3.0,0.1
12,4.0,Iris-setosa
13,0.0,4.3
13,1.0,3.0
13,2.0,1.1
13,3.0,0.1
13,4.0,Iris-setosa
14,0.0,5.8
14,1.0,4.0
14,2.0,1.2
14,3.0,0.2
14,4.0,Iris-setosa
15,0.0,5.7
15,1.0,4.4
15,2.0,1.5
15,3.0,0.4
15,4.0,Iris-setosa
16,0.0,5.4
16,1.0,3.9
16,2.0,1.3
16,3.0,0.4
16,4.0,Iris-setosa
17,0.0,5.1
17,1.0,3.5
17,2.0,1.4
17,3.0,0.3
17,4.0,Iris-setosa
18,0.0,5.7
18,1.0,3.8
18,2.0,1.7
18,3.0,0.3
18,4.0,Iris-setosa
19,0.0,5.1
19,1.0,3.8
19,2.0,1.5
19,3.0,0.3
19,4.0,Iris-setosa
20,0.0,5.4
20,1.0,3.4
20,2.0,1.7
20,3.0,0.2
20,4.0,Iris-setosa
21,0.0,5.1
21,1.0,3.7
21,2.0,1.5
21,3.0,0.4
21,4.0,Iris-setosa
22,0.0,4.6
22,1.0,3.6
22,2.0,1.0
22,3.0,0.2
22,4.0,Iris-setosa
23,0.0,5.1
23,1.0,3.3
23,2.0,1.7
23,3.0,0.5
23,4.0,Iris-setosa
24,0.0,4.8
24,1.0,3.4
24,2.0,1.9
24,3.0,0.2
24,4.0,Iris-setosa
25,0.0,5.0
25,1.0,3.0
25,2.0,1.6
25,3.0,0.2
25,4.0,Iris-setosa
26,0.0,5.0
26,1.0,3.4
26,2.0,1.6
26,3.0,0.4
26,4.0,Iris-setosa
27,0.0,5.2
27,1.0,3.5
27,2.0,1.5
27,3.0,0.2
27,4.0,Iris-setosa
28,0.0,5.2
28,1.0,3.4
28,2.0,1.4
28,3.0,0.2
28,4.0,Iris-setosa
29,0.0,4.7
29,1.0,3.2
29,2.0,1.6
29,3.0,0.2
29,4.0,Iris-setosa
30,0.0,4.8
30,1.0,3.1
30,2.0,1.6
30,3.0,0.2
30,4.0,Iris-setosa
31,0.0,5.4
31,1.0,3.4
31,2.0,1.5
31,3.0,0.4
31,4.0,Iris-setosa
32,0.0,5.2
32,1.0,4.1
32,2.0,1.5
32,3.0,0.1
32,4.0,Iris-setosa
33,0.0,5.5
33,1.0,4.2
33,2.0,1.4
33,3.0,0.2
33,4.0,Iris-setosa
34,0.0,4.9
34,1.0,3.1
34,2.0,1.5
34,3.0,0.1
34,4.0,Iris-setosa
35,0.0,5.0
35,1.0,3.2
35,2.0,1.2
35,3.0,0.2
35,4.0,Iris-setosa
36,0.0,5.5
36,1.0,3.5
36,2.0,1.3
36,3.0,0.2
36,4.0,Iris-setosa
37,0.0,4.9
37,1.0,3.1
37,2.0,1.5
37,3.0,0.1
37,4.0,Iris-setosa
38,0.0,4.4
